序號,答案
20240117090001,400.64498
20240117091001,444.72538
20240117092001,384.1555
20240117093001,289.67589
20240117094001,246.47167
20240117095001,239.83636
20240117100001,234.78007
20240117101001,236.28512
20240117102001,250.60207
20240117103001,295.5506
20240117104001,372.90521
20240117105001,331.8689
20240117110001,284.29046
20240117111001,262.36017
20240117112001,282.80472
20240117113001,290.57151
20240117114001,298.72065
20240117115001,256.82533
20240117120001,236.81371
20240117121001,235.4959
20240117122001,223.44161
20240117123001,231.89145
20240117124001,233.47897
20240117125001,225.32436
20240117130001,211.22608
20240117131001,207.4057
20240117132001,201.91308
20240117133001,195.54466
20240117134001,194.76147
20240117135001,191.12062
20240117140001,189.90703
20240117141001,188.27166
20240117142001,187.52131
20240117143001,187.17528
20240117144001,187.0783
20240117145001,187.1538
20240117150001,185.86136
20240117151001,185.2745
20240117152001,184.34563
20240117153001,183.8403
20240117154001,183.55681
20240117155001,183.515
20240117160001,204.08834
20240117161001,203.43944
20240117162001,196.53299
20240117163001,195.98405
20240117164001,196.07322
20240117165001,197.22659
20240119090001,877.14398
20240119091001,851.12155
20240119092001,338.12349
20240119093001,281.7604
20240119094001,256.79778
20240119095001,682.84948
20240119100001,231.01268
20240119101001,234.83614
20240119102001,251.14045
20240119103001,293.8721
20240119104001,339.03701
20240119105001,320.87485
20240119110001,284.29046
20240119111001,262.36017
20240119112001,282.80472
20240119113001,290.57151
20240119114001,298.72065
20240119115001,256.82533
20240119120001,236.81371
20240119121001,235.4959
20240119122001,223.44161
20240119123001,231.89145
20240119124001,233.47897
20240119125001,225.32436
20240119130001,211.22608
20240119131001,207.4057
20240119132001,201.91308
20240119133001,195.54466
20240119134001,194.76147
20240119135001,191.12062
20240119140001,189.90703
20240119141001,188.27166
20240119142001,187.52131
20240119143001,187.17528
20240119144001,187.0783
20240119145001,187.1538
20240119150001,185.86136
20240119151001,185.2745
20240119152001,184.34563
20240119153001,183.8403
20240119154001,183.55681
20240119155001,183.515
20240119160001,204.08834
20240119161001,203.43944
20240119162001,196.53299
20240119163001,195.98405
20240119164001,196.07322
20240119165001,197.22659
20240224090001,343.58034
20240224091001,471.17679
20240224092001,376.22964
20240224093001,249.66967
20240224094001,227.27089
20240224095001,228.66671
20240224100001,227.41777
20240224101001,236.46165
20240224102001,245.57484
20240224103001,295.64824
20240224104001,372.43216
20240224105001,331.76267
20240224110001,284.29046
20240224111001,262.36017
20240224112001,282.80472
20240224113001,290.57151
20240224114001,298.72065
20240224115001,256.82533
20240224120001,236.81371
20240224121001,235.4959
20240224122001,223.44161
20240224123001,231.89145
20240224124001,233.47897
20240224125001,225.32436
20240224130001,211.22608
20240224131001,207.4057
20240224132001,201.91308
20240224133001,195.54466
20240224134001,194.76147
20240224135001,191.12062
20240224140001,189.90703
20240224141001,188.27166
20240224142001,187.52131
20240224143001,187.17528
20240224144001,187.0783
20240224145001,187.1538
20240224150001,185.86136
20240224151001,185.2745
20240224152001,184.34563
20240224153001,183.8403
20240224154001,183.55681
20240224155001,183.515
20240224160001,204.08834
20240224161001,203.43944
20240224162001,196.53299
20240224163001,195.98405
20240224164001,196.07322
20240224165001,197.22659
20240226090001,262.43154
20240226091001,335.99373
20240226092001,314.33188
20240226093001,256.9699
20240226094001,232.97159
20240226095001,250.52187
20240226100001,232.57871
20240226101001,240.49199
20240226102001,250.92613
20240226103001,292.05109
20240226104001,372.18462
20240226105001,335.99779
20240226110001,284.29046
20240226111001,262.36017
20240226112001,282.80472
20240226113001,290.57151
20240226114001,298.72065
20240226115001,256.82533
20240226120001,236.81371
20240226121001,235.4959
20240226122001,223.44161
20240226123001,231.89145
20240226124001,233.47897
20240226125001,225.32436
20240226130001,211.22608
20240226131001,207.4057
20240226132001,201.91308
20240226133001,195.54466
20240226134001,194.76147
20240226135001,191.12062
20240226140001,189.90703
20240226141001,188.27166
20240226142001,187.52131
20240226143001,187.17528
20240226144001,187.0783
20240226145001,187.1538
20240226150001,185.86136
20240226151001,185.2745
20240226152001,184.34563
20240226153001,183.8403
20240226154001,183.55681
20240226155001,183.515
20240226160001,204.08834
20240226161001,203.43944
20240226162001,196.53299
20240226163001,195.98405
20240226164001,196.07322
20240226165001,197.22659
20240327090001,212.53133
20240327091001,319.22387
20240327092001,310.28265
20240327093001,264.78576
20240327094001,233.45301
20240327095001,235.23616
20240327100001,227.16216
20240327101001,236.14911
20240327102001,250.90866
20240327103001,321.32241
20240327104001,371.41205
20240327105001,326.77737
20240327110001,284.29046
20240327111001,262.36017
20240327112001,282.80472
20240327113001,290.57151
20240327114001,298.72065
20240327115001,256.82533
20240327120001,236.81371
20240327121001,235.4959
20240327122001,223.44161
20240327123001,231.89145
20240327124001,233.47897
20240327125001,225.32436
20240327130001,211.22608
20240327131001,207.4057
20240327132001,201.91308
20240327133001,195.54466
20240327134001,194.76147
20240327135001,191.12062
20240327140001,189.90703
20240327141001,188.27166
20240327142001,187.52131
20240327143001,187.17528
20240327144001,187.0783
20240327145001,187.1538
20240327150001,185.86136
20240327151001,185.2745
20240327152001,184.34563
20240327153001,183.8403
20240327154001,183.55681
20240327155001,183.515
20240327160001,204.08834
20240327161001,203.43944
20240327162001,196.53299
20240327163001,195.98405
20240327164001,196.07322
20240327165001,197.22659
20240329090001,189.78883
20240329091001,290.61529
20240329092001,253.01736
20240329093001,217.08674
20240329094001,216.46646
20240329095001,227.14442
20240329100001,214.88925
20240329101001,234.10619
20240329102001,243.07412
20240329103001,313.36279
20240329104001,372.11441
20240329105001,326.83169
20240329110001,284.29046
20240329111001,262.36017
20240329112001,282.80472
20240329113001,290.57151
20240329114001,298.72065
20240329115001,256.82533
20240329120001,236.81371
20240329121001,235.4959
20240329122001,223.44161
20240329123001,231.89145
20240329124001,233.47897
20240329125001,225.32436
20240329130001,211.22608
20240329131001,207.4057
20240329132001,201.91308
20240329133001,195.54466
20240329134001,194.76147
20240329135001,191.12062
20240329140001,189.90703
20240329141001,188.27166
20240329142001,187.52131
20240329143001,187.17528
20240329144001,187.0783
20240329145001,187.1538
20240329150001,185.86136
20240329151001,185.2745
20240329152001,184.34563
20240329153001,183.8403
20240329154001,183.55681
20240329155001,183.515
20240329160001,204.08834
20240329161001,203.43944
20240329162001,196.53299
20240329163001,195.98405
20240329164001,196.07322
20240329165001,197.22659
20240428090001,244.63168
20240428091001,314.39792
20240428092001,339.9549
20240428093001,298.81603
20240428094001,307.34811
20240428095001,240.05551
20240428100001,233.71909
20240428101001,241.90036
20240428102001,251.25692
20240428103001,322.83581
20240428104001,377.09869
20240428105001,331.1486
20240428110001,284.29046
20240428111001,262.36017
20240428112001,282.80472
