序號,答案
20240117090001,207.49671
20240117091001,218.95512
20240117092001,221.63601
20240117093001,222.93727
20240117094001,214.07752
20240117095001,205.67371
20240117100001,225.43268
20240117101001,231.36237
20240117102001,230.81358
20240117103001,224.57688
20240117104001,232.94613
20240117105001,224.09032
20240117110001,206.26887
20240117111001,201.16492
20240117112001,204.02599
20240117113001,205.10205
20240117114001,205.96982
20240117115001,204.58739
20240117120001,204.103
20240117121001,201.19188
20240117122001,199.30932
20240117123001,198.34502
20240117124001,198.40055
20240117125001,197.03378
20240117130001,199.87228
20240117131001,195.43932
20240117132001,194.55036
20240117133001,193.77139
20240117134001,191.94725
20240117135001,191.22612
20240117140001,188.64326
20240117141001,187.49816
20240117142001,187.68398
20240117143001,188.31768
20240117144001,188.57291
20240117145001,186.63261
20240117150001,185.94564
20240117151001,185.5963
20240117152001,184.73052
20240117153001,184.04668
20240117154001,183.76974
20240117155001,183.59641
20240117160001,248.69873
20240117161001,317.8956
20240117162001,397.07752
20240117163001,521.08089
20240117164001,634.01572
20240117165001,652.39576
20240119090001,246.5709
20240119091001,212.90881
20240119092001,212.89157
20240119093001,223.58318
20240119094001,224.07718
20240119095001,209.98641
20240119100001,211.64378
20240119101001,225.41207
20240119102001,224.88841
20240119103001,216.11448
20240119104001,230.78756
20240119105001,223.89453
20240119110001,206.26887
20240119111001,201.16492
20240119112001,204.02599
20240119113001,205.10205
20240119114001,205.96982
20240119115001,204.58739
20240119120001,204.103
20240119121001,201.19188
20240119122001,199.30932
20240119123001,198.34502
20240119124001,198.40055
20240119125001,197.03378
20240119130001,199.87228
20240119131001,195.43932
20240119132001,194.55036
20240119133001,193.77139
20240119134001,191.94725
20240119135001,191.22612
20240119140001,188.64326
20240119141001,187.49816
20240119142001,187.68398
20240119143001,188.31768
20240119144001,188.57291
20240119145001,186.63261
20240119150001,185.94564
20240119151001,185.5963
20240119152001,184.73052
20240119153001,184.04668
20240119154001,183.76974
20240119155001,183.59641
20240119160001,248.69873
20240119161001,317.8956
20240119162001,397.07752
20240119163001,521.08089
20240119164001,634.01572
20240119165001,652.39576
20240224090001,202.90695
20240224091001,206.83925
20240224092001,212.96552
20240224093001,213.21073
20240224094001,214.20141
20240224095001,204.4029
20240224100001,231.07247
20240224101001,233.52312
20240224102001,230.69105
20240224103001,225.34566
20240224104001,233.36991
20240224105001,224.09032
20240224110001,206.26887
20240224111001,201.16492
20240224112001,204.02599
20240224113001,205.10205
20240224114001,205.96982
20240224115001,204.58739
20240224120001,204.103
20240224121001,201.19188
20240224122001,199.30932
20240224123001,198.34502
20240224124001,198.40055
20240224125001,197.03378
20240224130001,199.87228
20240224131001,195.43932
20240224132001,194.55036
20240224133001,193.77139
20240224134001,191.94725
20240224135001,191.22612
20240224140001,188.64326
