序號,答案
20240117090001,227.29983
20240117091001,225.88393
20240117092001,254.13062
20240117093001,326.28309
20240117094001,410.57385
20240117095001,598.33915
20240117100001,602.83513
20240117101001,453.36533
20240117102001,430.55959
20240117103001,514.90809
20240117104001,480.48527
20240117105001,398.95502
20240117110001,383.80145
20240117111001,411.76402
20240117112001,391.8983
20240117113001,409.80471
20240117114001,588.33494
20240117115001,558.48796
20240117120001,515.11279
20240117121001,525.88335
20240117122001,342.2651
20240117123001,307.16564
20240117124001,289.89954
20240117125001,235.65015
20240117130001,219.98524
20240117131001,214.25615
20240117132001,212.58712
20240117133001,205.34633
20240117134001,198.86088
20240117135001,193.62299
20240117140001,189.44494
20240117141001,187.89143
20240117142001,187.59505
20240117143001,187.15423
20240117144001,187.10162
20240117145001,186.98453
20240117150001,184.85519
20240117151001,184.33194
20240117152001,184.22874
20240117153001,184.15058
20240117154001,184.19771
20240117155001,184.25425
20240117160001,201.45324
20240117161001,197.26051
20240117162001,192.50467
20240117163001,192.10316
20240117164001,189.72631
20240117165001,190.76166
20240119090001,298.48762
20240119091001,279.48944
20240119092001,249.09887
20240119093001,285.86614
20240119094001,378.8904
20240119095001,547.83124
20240119100001,489.12431
20240119101001,617.23961
20240119102001,429.45789
20240119103001,472.80364
20240119104001,521.4084
20240119105001,413.72623
20240119110001,383.80145
20240119111001,411.76402
20240119112001,391.8983
20240119113001,409.80471
20240119114001,588.33494
20240119115001,558.48796
20240119120001,515.11279
20240119121001,525.88335
20240119122001,342.2651
20240119123001,307.16564
20240119124001,289.89954
20240119125001,235.65015
20240119130001,219.98524
20240119131001,214.25615
20240119132001,212.58712
20240119133001,205.34633
20240119134001,198.86088
20240119135001,193.62299
20240119140001,189.44494
20240119141001,187.89143
20240119142001,187.59505
20240119143001,187.15423
20240119144001,187.10162
20240119145001,186.98453
20240119150001,184.85519
20240119151001,184.33194
20240119152001,184.22874
20240119153001,184.15058
20240119154001,184.19771
20240119155001,184.25425
20240119160001,201.45324
20240119161001,197.26051
20240119162001,192.50467
20240119163001,192.10316
20240119164001,189.72631
20240119165001,190.76166
20240224090001,220.80438
20240224091001,224.21262
20240224092001,236.8377
20240224093001,297.77972
20240224094001,424.59773
20240224095001,598.20167
20240224100001,684.04978
20240224101001,543.67934
20240224102001,452.68592
20240224103001,528.68553
20240224104001,470.7808
20240224105001,392.50081
20240224110001,383.80145
20240224111001,411.76402
20240224112001,391.8983
20240224113001,409.80471
20240224114001,588.33494
20240224115001,558.48796
20240224120001,515.11279
20240224121001,525.88335
20240224122001,342.2651
20240224123001,307.16564
20240224124001,289.89954
20240224125001,235.65015
20240224130001,219.98524
20240224131001,214.25615
20240224132001,212.58712
20240224133001,205.34633
20240224134001,198.86088
20240224135001,193.62299
20240224140001,189.44494
20240224141001,187.89143
20240224142001,187.59505
20240224143001,187.15423
20240224144001,187.10162
20240224145001,186.98453
20240224150001,184.85519
20240224151001,184.33194
20240224152001,184.22874
20240224153001,184.15058
20240224154001,184.19771
20240224155001,184.25425
20240224160001,201.45324
20240224161001,197.26051
20240224162001,192.50467
20240224163001,192.10316
20240224164001,189.72631
20240224165001,190.76166
20240226090001,204.90285
20240226091001,207.34419
20240226092001,227.17553
20240226093001,270.41782
20240226094001,320.2165
20240226095001,437.36461
20240226100001,563.90138
20240226101001,411.19861
20240226102001,429.99651
20240226103001,515.8119
20240226104001,479.41502
20240226105001,392.19419
20240226110001,383.80145
20240226111001,411.76402
20240226112001,391.8983
