序號,答案
20240117090001,223.9054
20240117091001,232.58054
20240117092001,242.18106
20240117093001,311.95314
20240117094001,314.98485
20240117095001,391.68385
20240117100001,423.34032
20240117101001,344.08163
20240117102001,305.65053
20240117103001,297.04216
20240117104001,280.51378
20240117105001,286.13037
20240117110001,243.99674
20240117111001,231.99614
20240117112001,232.08896
20240117113001,235.29403
20240117114001,243.87831
20240117115001,288.95286
20240117120001,262.76503
20240117121001,274.81669
20240117122001,239.74204
20240117123001,242.62471
20240117124001,239.11062
20240117125001,235.81858
20240117130001,228.43482
20240117131001,232.27225
20240117132001,228.70393
20240117133001,231.83585
20240117134001,231.71752
20240117135001,225.64571
20240117140001,204.89495
20240117141001,195.82308
20240117142001,194.08355
20240117143001,190.48775
20240117144001,189.98025
20240117145001,188.1926
20240117150001,185.89493
20240117151001,185.57445
20240117152001,184.72012
20240117153001,184.44579
20240117154001,184.01598
20240117155001,183.69518
20240117160001,202.49426
20240117161001,202.70538
20240117162001,202.25761
20240117163001,198.55014
20240117164001,200.25153
20240117165001,204.14453
20240119090001,278.49493
20240119091001,209.37888
20240119092001,205.45346
20240119093001,226.69447
20240119094001,295.36409
20240119095001,248.61532
20240119100001,495.8251
20240119101001,432.90645
20240119102001,308.05295
20240119103001,280.21481
20240119104001,280.27857
20240119105001,279.77987
20240119110001,243.99674
20240119111001,231.99614
20240119112001,232.08896
20240119113001,235.29403
20240119114001,243.87831
20240119115001,288.95286
20240119120001,262.76503
20240119121001,274.81669
20240119122001,239.74204
20240119123001,242.62471
20240119124001,239.11062
20240119125001,235.81858
20240119130001,228.43482
20240119131001,232.27225
20240119132001,228.70393
20240119133001,231.83585
20240119134001,231.71752
20240119135001,225.64571
20240119140001,204.89495
20240119141001,195.82308
20240119142001,194.08355
20240119143001,190.48775
20240119144001,189.98025
20240119145001,188.1926
20240119150001,185.89493
20240119151001,185.57445
20240119152001,184.72012
20240119153001,184.44579
20240119154001,184.01598
20240119155001,183.69518
20240119160001,202.49426
20240119161001,202.70538
20240119162001,202.25761
20240119163001,198.55014
20240119164001,200.25153
20240119165001,204.14453
20240224090001,251.0228
20240224091001,229.67802
20240224092001,305.35698
20240224093001,335.7177
20240224094001,305.5192
20240224095001,316.5091
20240224100001,287.68335
20240224101001,309.27888
20240224102001,318.19158
20240224103001,294.32363
20240224104001,284.71495
20240224105001,288.73331
20240224110001,243.99674
20240224111001,231.99614
20240224112001,232.08896
20240224113001,235.29403
20240224114001,243.87831
20240224115001,288.95286
20240224120001,262.76503
20240224121001,274.81669
20240224122001,239.74204
20240224123001,242.62471
20240224124001,239.11062
20240224125001,235.81858
20240224130001,228.43482
20240224131001,232.27225
20240224132001,228.70393
20240224133001,231.83585
20240224134001,231.71752
20240224135001,225.64571
20240224140001,204.89495
20240224141001,195.82308
20240224142001,194.08355
20240224143001,190.48775
20240224144001,189.98025
20240224145001,188.1926
20240224150001,185.89493
20240224151001,185.57445
20240224152001,184.72012
20240224153001,184.44579
20240224154001,184.01598
20240224155001,183.69518
20240224160001,202.49426
20240224161001,202.70538
20240224162001,202.25761
20240224163001,198.55014
20240224164001,200.25153
20240224165001,204.14453
20240226090001,204.30613
20240226091001,208.42412
20240226092001,375.02192
20240226093001,304.54979
20240226094001,326.53844
20240226095001,354.82498
20240226100001,344.7316
20240226101001,322.88453
20240226102001,308.20526
20240226103001,293.51658
20240226104001,287.1512
20240226105001,288.73331
20240226110001,243.99674
20240226111001,231.99614
20240226112001,232.08896
20240226113001,235.29403
20240226114001,243.87831
20240226115001,288.95286
20240226120001,262.76503
20240226121001,274.81669
20240226122001,239.74204
20240226123001,242.62471
20240226124001,239.11062
20240226125001,235.81858
20240226130001,228.43482
20240226131001,232.27225
20240226132001,228.70393
20240226133001,231.83585
20240226134001,231.71752
20240226135001,225.64571
20240226140001,204.89495
20240226141001,195.82308
20240226142001,194.08355
20240226143001,190.48775
20240226144001,189.98025
20240226145001,188.1926
20240226150001,185.89493
20240226151001,185.57445
20240226152001,184.72012
20240226153001,184.44579
20240226154001,184.01598
20240226155001,183.69518
20240226160001,202.49426
20240226161001,202.70538
20240226162001,202.25761
20240226163001,198.55014
20240226164001,200.25153
20240226165001,204.14453
20240327090001,301.51574
20240327091001,198.88305
20240327092001,198.26293
20240327093001,209.5192
20240327094001,228.27139
20240327095001,283.51716
20240327100001,553.71937
20240327101001,431.58397
20240327102001,344.96941
20240327103001,273.79167
20240327104001,284.44505
20240327105001,290.24338
20240327110001,243.99674
20240327111001,231.99614
20240327112001,232.08896
20240327113001,235.29403
20240327114001,243.87831
20240327115001,288.95286
20240327120001,262.76503
20240327121001,274.81669
20240327122001,239.74204
20240327123001,242.62471
20240327124001,239.11062
20240327125001,235.81858
20240327130001,228.43482
20240327131001,232.27225
20240327132001,228.70393
20240327133001,231.83585
20240327134001,231.71752
20240327135001,225.64571
20240327140001,204.89495
20240327141001,195.82308
20240327142001,194.08355
20240327143001,190.48775
20240327144001,189.98025
20240327145001,188.1926
20240327150001,185.89493
20240327151001,185.57445
20240327152001,184.72012
20240327153001,184.44579
20240327154001,184.01598
20240327155001,183.69518
20240327160001,202.49426
20240327161001,202.70538
20240327162001,202.25761
20240327163001,198.55014
20240327164001,200.25153
20240327165001,204.14453
20240329090001,194.07193
20240329091001,199.78388
20240329092001,227.20331
20240329093001,230.75555
20240329094001,226.56221
20240329095001,276.07838
20240329100001,522.15151
20240329101001,390.66332
20240329102001,318.15197
20240329103001,278.89466
20240329104001,282.36835
20240329105001,286.22518
20240329110001,243.99674
20240329111001,231.99614
20240329112001,232.08896
20240329113001,235.29403
20240329114001,243.87831
20240329115001,288.95286
20240329120001,262.76503
20240329121001,274.81669
20240329122001,239.74204
20240329123001,242.62471
20240329124001,239.11062
20240329125001,235.81858
20240329130001,228.43482
20240329131001,232.27225
20240329132001,228.70393
20240329133001,231.83585
20240329134001,231.71752
20240329135001,225.64571
20240329140001,204.89495
20240329141001,195.82308
